# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
21234	edible fish offal ; fish fins, heads, tails, maws and other edible fish offal	edible fish offal
21234	edible fish offal ; fish fins, heads, tails, maws and other edible fish offal	fish fins
21241	prepared dishes and meals based on fish, molluscs and crustaceans	meals based
21243	caviar and caviar substitutes	caviar substitutes
21255	cold-water shrimps and prawns, frozen, dried, salted or in brine	cold-water shrimps
21266	cuttle fish and squid, frozen, smoked, dried, salted or in brine	cuttle fish
21299	products n.e.c. of fish, crustaceans, molluscs or other aquatic invertebrates; d	dead fish
21330	vegetables provisionally preserved	vegetables provisionally preserved
21391	prepared dishes and meals based on vegetables, pulses and potatoes	meals based
21494	jams, fruit jellies, marmalades, fruit or nut purree and fruit or nut pastes	fruit jellies
21494	jams, fruit jellies, marmalades, fruit or nut purree and fruit or nut pastes	nut purree
21494	jams, fruit jellies, marmalades, fruit or nut purree and fruit or nut pastes	nut pastes
21496	fruits and nuts, provisionally preserved, not for immediate consumption	provisionally preserved
21512	cattle fat, unrendered	cattle fat
21513	buffalo fat, unrendered	buffalo fat
21514	sheep fat, unrendered	sheep fat
21515	goat fat, unrendered	goat fat
21521	pig fat, rendered	pig fat
21522	poultry fat, rendered	poultry fat
21524	fish-liver oils and their fractions	their fractions
21525	fats and oils and their fractions, of fish, other than liver oils	their fractions
21526	fats and oils and their fractions, of marine mammals	their fractions
21590	animal fats and their fractions, partly or wholly hydrogenated, inter-esterified	their fractions
21611	soya bean oil, crude	soya bean oil
21612	soya bean oil, refined	soya bean oil
21631	sunflower-seed and safflower-seed oil, crude	safflower-seed oil
21632	sunflower-seed and safflower-seed oil, refined	safflower-seed oil
21693	vegetable oils and their fractions, partly or wholly hydrogenated, inter-esterif	their fractions
21800	cotton linters	cotton linters
21932	degras; residues resulting from the treatment of fatty substances or animal or v	degras
21932	degras; residues resulting from the treatment of fatty substances or animal or v	residues resulting
22110	processed liquid milk	processed liquid milk
22212	skim milk and whey powder	whey powder
22230	yoghurt and other fermented or acidified milk and cream	acidified milk
23110	wheat and meslin flour	meslin flour
23162	husked rice	husked rice
23210	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	glucose syrup
23210	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	fructose syrup
23210	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	lactose syrup
23210	glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syru	artificial honey
23230	tapioca and substitutes therefor prepared from starch, in the form of flakes, gr	substitutes therefor prepared
23320	lucerne (alfalfa) meal and pellets	lucerne meal
23410	crispbread; rusks, toasted bread and similar toasted products	crispbread
23410	crispbread; rusks, toasted bread and similar toasted products	toasted bread
23420	gingerbread and the like; sweet biscuits; waffles and wafers	sweet biscuits
23530	refined cane or beet sugar, in solid form, containing added flavouring or colour	refined cane
23610	cocoa paste, whether or not defatted	cocoa paste
23670	sugar confectionery (including white chocolate), not containing cocoa; vegetable	sugar confectionery
23670	sugar confectionery (including white chocolate), not containing cocoa; vegetable	fruit-peel
23710	uncooked pasta, not stuffed or otherwise prepared	uncooked pasta
23722	prepared dishes containing stuffed pasta; prepared couscous dishes	prepared couscous dishes
23911	coffee, decaffeinated or roasted	decaffeinated
23912	coffee substitutes containing coffee; extracts, essences and concentrates of cof	roasted chicory
23913	green tea (not fermented), black tea (fermented) and partly fermented tea, in im	partly fermented tea
23924	anise, badian, coriander, cumin, caraway, fennel and juniper berries, processed	badian
23929	other spices and aromatics, processed	aromatics
23991	homogenized preparations of meat, vegetables, fruits or nuts; preparations of mi	homogenized preparations
23991	homogenized preparations of meat, vegetables, fruits or nuts; preparations of mi	homogenized composite food preparations
23993	eggs, not in shell, and egg yolks, fresh or preserved; egg albumin	egg albumin
23994	vinegar and substitutes therefor obtained from acetic acid	substitutes therefor
23995	sauces; mixed condiments; mustard flour and meal; prepared mustard	mixed condiments
23995	sauces; mixed condiments; mustard flour and meal; prepared mustard	mustard flour
24110	undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or highe	undenatured ethyl alcohol
24139	other spirituous beverages and undenatured ethyl alcohol of an alcoholic strengt	undenatured ethyl alcohol
24212	wine of fresh grapes, except sparkling wine; grape must	grape must
25010	cured stemmed/stripped tobacco leaves	cured stemmed/stripped tobacco leaves
25090	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	manufactured tobacco substitutes
25090	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	reconstituted tobacco
25090	other manufactured tobacco and manufactured tobacco substitutes; "homogenized" o	tobacco extracts
26130	wool, degreased or carbonized, not carded or combed	degreased
26130	wool, degreased or carbonized, not carded or combed	carbonized
26140	noils of wool or of fine animal hair	noils
26150	wool and fine or coarse animal hair, carded or combed	coarse animal hair
26210	synthetic staple fibres, carded, combed or otherwise processed for spinning	synthetic staple fibres
26220	artificial staple fibres, carded, combed or otherwise processed for spinning	artificial staple fibres
26310	silk yarn and yarn spun from silk waste; silk-worn gut	silk yarn
26310	silk yarn and yarn spun from silk waste; silk-worn gut	yarn spun
26310	silk yarn and yarn spun from silk waste; silk-worn gut	silk-worn gut
26350	cotton sewing thread	cotton sewing thread
26360	cotton yarn (other than sewing thread), containing 85% or more by weight of cott	cotton yarn
26370	cotton yarn (other than sewing thread), containing less than 85% by weight of co	cotton yarn
26380	yarn of vegetable textile fibres other than cotton (including flax, jute, coir a	paper yarn
26410	sewing thread of man-made filaments or staple fibres	sewing thread
26422	man-made filament yarn (other than sewing thread), put up for retail sale	man-made filament yarn
26510	woven fabrics of silk or of silk waste	woven fabrics
26520	woven fabrics of carded wool or of carded fine animal hair, containing 85% or mo	woven fabrics
26530	woven fabrics of combed wool or of combed fine animal hair, containing 85% or mo	woven fabrics
26540	woven fabrics of wool or fine animal hair, containing less than 85% by weight of	woven fabrics
26550	woven fabrics of coarse animal hair or of horsehair	woven fabrics
26560	woven fabrics of flax	woven fabrics
26570	woven fabrics of jute and other textile bast fibres (except flax, true hemp and 	woven fabrics
26590	woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn	woven fabrics
26610	woven fabrics of cotton, containing 85% or more by weight of cotton, weighing no	woven fabrics
26620	woven fabrics of cotton, containing 85% or more by weight of cotton, weighing mo	woven fabrics
26630	woven fabrics of cotton, containing less than 85% by weight of cotton, mixed mai	woven fabrics
26710	woven fabrics of man-made filament yarn, obtained from high tenacity yarn of nyl	woven fabrics
26740	woven fabrics of synthetic staple fibres, containing 85% or more by weight of sy	woven fabrics
26750	woven fabrics of artificial staple fibres, containing 85% or more by weight of a	woven fabrics
26760	woven fabrics of man-made staple fibres, containing less than 85% of such fibres	woven fabrics
26770	woven fabrics of man-made staple fibres, containing less than 85% of such fibres	woven fabrics
26810	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	woven pile fabrics
26810	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	chenille fabrics
26820	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	woven pile fabrics
26820	woven pile fabrics and chenille fabrics (other than terry towelling and narrow f	chenille fabrics
26830	other woven pile fabrics and chenille fabrics (other than terry towelling and na	chenille fabrics
