name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
basketball	00480993	Basketball	=			Q5372	Mx4rvVjym5wpEbGdrcN5Y29ycA				a game played on a court by two opposing teams of 5 players; points are scored by throwing	core
bat	02139199	Mammal	+			Q28425					nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical	core
batch	13774404	SubjectiveAssessmentAttribute	+								"(often followed by `of') a large number or amount or extent; ""a batch of letters""; ""a deal"	core
bathroom	02807731	Bathroom	=			Q190771	Mx4rj_TbOCmDQdecrvhdjRWehQ				a room (as in a residence) containing a bathtub or shower and usually a washbasin and toil	core
bathtub	02808440	BathTub	=			Q152095	Mx4rvVibtpwpEbGdrcN5Y29ycA				a relatively large open container that you fill with water and use to wash the body	core
battery	00768203	ViolentContest	+			Q267298	Mx4rvVicrpwpEbGdrcN5Y29ycA				an assault in which the assailant makes physical contact	core
battle	00953559	Battle	=		Battle	Q178561					"a hostile meeting of opposing military forces in the course of a war; ""Grant won a decisiv"	core
battlefield	08506641	MilitaryFront	+		Battlefield	Q4895508	Mx4rI67BIqUgQdiGzOBoxWmzTA				"a region where a battle is being (or has been) fought; ""they made a tour of Civil War batt"	core
battlefront	08573674	MilitaryFront	+			Q842332					the line along which opposing armies face each other	core
bay	09215664	Bay	=		Bay	Q9258947	Mx4rvVi1YJwpEbGdrcN5Y29ycA				an indentation of a shoreline larger than a cove but smaller than a gulf	core
beach	09217230	ShoreArea	=	schema:Beach	Beach	Q40080	Mx4rvVjvKZwpEbGdrcN5Y29ycA				an area of sand sloping down to the water of a sea or lake	core
beak	01758308	BodyPart	+			Q31528					horny projecting mouth of a bird	core
beam	02815950	BoardOrBlock	+			Q3705329	Mx4rvViQJpwpEbGdrcN5Y29ycA				long thick piece of wood or metal or concrete, etc., used in construction	core
beam-of-light	11428023	RadiatingLight	+								a column of light (as from a beacon)	core
bean	07724943	Bean	=			Q379813					any of various edible seeds of plants of the family Leguminosae used for food	core
bear	02131653	Bear	=			Q30090244					massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong cl	core
beard	05261566	FacialHair	+			Q42804	Mx4rvViDgZwpEbGdrcN5Y29ycA				the hair growing on the lower part of a man's face	core
bearing	04910377	TraitAttribute	+								dignified manner or conduct	core
bed	02818832	Bed	=			Q42177	Mx4rvVjeFJwpEbGdrcN5Y29ycA				"a piece of furniture that provides a place to sleep; ""he sat on the edge of the bed""; ""the"	core
bedroom	02821627	Bedroom	+			Q193837	Mx4rvVjQqZwpEbGdrcN5Y29ycA				a room used primarily for sleeping	core
bee	02206856	Bee	=			Q102857	Mx4rvVkHLZwpEbGdrcN5Y29ycA				any of numerous hairy-bodied insects including social and solitary species	core
beef	07663592	Beef	=			Q192628					meat from an adult domestic bovine	core
beer	07886849	Beer	=		Beer	Q44	Mx4rvVjRpZwpEbGdrcN5Y29ycA				a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals)	core
beginning	05868051	Entity	+								"the first part or section of something; ""`It was a dark and stormy night' is a hackneyed b"	core
behavior	01220984	BodyMotion	+		Behavior						manner of acting or controlling yourself	core
belief	05941423	Proposition	+		Belief						any cognitive content held as true	core
belongings	13244109	Attribute	+								"something owned; any tangible or intangible possession that is owned by someone; ""that hat"	core
beloved	09849598	Human	+								a beloved person; used as terms of endearment	core
belt	02827606	Belt	+			Q134560					a band to tie or buckle around the body (usually at the waist)	core
bench	02828884	Seat	+			Q204776					a long seat for more than one person	core
bend	02829696	Transitway	+			Q671288	Mx4ruPw7jCTVQdeI1qUMHt4iEw				curved segment (of a road or river or railroad track etc.)	core
beneficiary	09850121	SocialRole	+				Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvViQ5ZwpEbGdrcN5Y29ycB4rvViADZwpEbGdrcN5Y29ycA				the recipient of funds or other benefits	core
benefit	05142641	SubjectiveAssessmentAttribute	+								"something that aids or promotes well-being; ""for the benefit of all"""	core
benefit-performance	06892534	Performance	+								a performance to raise money for a charitable cause	core
berry	07742704	FruitOrVegetable	+			Q16128920					any of numerous small and pulpy edible fruits; used as desserts or in making jams and jell	core
bet	00506658	Betting	=								"the act of gambling; ""he did it on a bet"""	core
betrothal	07228211	Committing	+			Q157512	Mx4rvVkFYJwpEbGdrcN5Y29ycA				a mutual promise to marry	core
bias	06201908	IntentionalRelation	+								a partiality that prevents objective consideration of an issue or situation	core
bible	06431740	ChristianBible	+			Q1845	Mx4rvfMBiZwpEbGdrcN5Y29ycA				"the sacred writings of the Christian religions; ""he went to carry the Word to the heathen"""	core
bicycle	02834778	Bicycle	=		Bicycle	Q11442	Mx4rvVjo0JwpEbGdrcN5Y29ycA				a wheeled vehicle that has two wheels and is moved by foot pedals	core
bid	07168131	Ordering	=								an authoritative direction or instruction to do something	core
bill	13393762	CurrencyBill	+			Q47433					"a piece of paper money (especially one issued by a central bank); ""he peeled off five one-"	core
bin	02839910	Container	+								a container; usually has a lid	core
biography	06515827	Biography	+		Biography	Q36279					an account of the series of events making up a person's life	core
biology	06037666	Biology	@			Q420					the science that studies living organisms	core
biota	07993109	Organism	+								all the plant and animal life of a particular region	core
bird	01503061	Bird	=			Q5113	Mx4rvVi8SJwpEbGdrcN5Y29ycA				warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wi	core
birdcall	06796642	AnimalLanguage	+			Q1126556					"the characteristic sound produced by a bird; ""a bird will not learn its song unless it hea"	core
birth	07320302	Birth	=			Q14819852	Mx4rvVizDJwpEbGdrcN5Y29ycA				"the event of being born; ""they celebrated the birth of their first child"""	core
birthday	15250178	Day	+		Birthday	Q47223					an anniversary of the day on which a person was born (or the celebration of it)	core
bishop	09857200	Bishop	=		Bishop	Q29182					a senior member of the Christian clergy having spiritual and administrative authority; app	core
bit	09222051	Object	+			Q830004					"a small fragment of something broken off from the whole; ""a bit of rock caught him in the "	core
bite	07577374	Meal	+			Q96748570					a light informal meal	core
blackmail	00784598	CriminalAction	+			Q34284	Mx4rwJvJepwpEbGdrcN5Y29ycA				extortion of money by threats to divulge discrediting information	core
blade	02848216	Blade	=				Mx4rvVjLipwpEbGdrcN5Y29ycA				the flat part of a tool or weapon that (usually) has a cutting edge	core
blanket	02849154	Blanket	+			Q1762457	Mx4rvVjTspwpEbGdrcN5Y29ycA				"bedding that keeps a person warm in bed; ""he pulled the covers over his head and went to s"	core
blast	07408171	Motion	+								an explosion (as of dynamite)	core
blessing	01215392	Helping	+				Mx4rGcLIBDAHQdiIo_4bdZWqgw				"the formal act of approving; ""he gave the project his blessing""; ""his decision merited the"	core
blink-of-an-eye	15247110	SubjectiveAssessmentAttribute	+								"a very short time (as the time it takes the eye to blink or the heart to beat); ""if I had "	core
block	08642145	CityBlock	+			Q1348006	Mx4rwwfziB5sQdeF8uYL1bPzcw				a rectangular area in a city surrounded by streets and usually containing several building	core
blood	05399847	Blood	=			Q7873	Mx4rvVjI8JwpEbGdrcN5Y29ycA				the fluid (red in vertebrates) that is pumped through the body by the heart and contains p	core
bloodshed	00221178	Killing	+				Mx4r7aWypub8R_-Xa9XHTcIuMQ				"the shedding of blood resulting in murder; ""he avenged the bloodshed of his kinsmen"""	core
blow	01173038	Impacting	=								"a powerful stroke with the fist or a weapon; ""a blow on the head"""	core
blue	04968895	Blue	+			Q1088	Mx4rSZ2UjHS_EdaAAACgyZzFrg				"blue color or pigment; resembling the color of the clear sky in the daytime; ""he had eyes "	core
board	02857023	Device	+			Q123421533					"a flat portable surface (usually rectangular) designed for board games; ""he got out the bo"	core
board-of-directors	08322981	OrganizationalBoard	=		Board_of_directors	Q188628	Mx4rvVkI1ZwpEbGdrcN5Y29ycA				"a committee having supervisory powers; ""the board has seven members"""	core
boat	02858304	WaterVehicle	=		Boat	Q35872	Mx4rIDj6hi6jEdqAAAACs71DGQ				a small vessel for travel on water	core
body	05216365	Animal	=								"the entire structure of an organism (an animal, plant, or human being); ""he felt as if his"	core
body-of-water	09225146	WaterArea	=	schema:BodyOfWater	BodyOfWater		Mx4rvViE_JwpEbGdrcN5Y29ycA				"the part of the earth's surface covered with water (such as a river or lake or ocean); ""th"	core
body-part	05220461	BodyPart	=				Mx4rvViAHJwpEbGdrcN5Y29ycA				any part of an organism such as an organ or extremity	core
boldness	04838210	TraitAttribute	+								"impudent aggressiveness; ""I couldn't believe her boldness""; ""he had the effrontery to ques"	core
bolt	02865665	Bolt	=			Q1147806	Mx4rvVjxrJwpEbGdrcN5Y29ycA				a screw that screws into a nut to form a fastener	core
bomb	02866578	Bomb	+		Bomb	Q127197	Mx4rwQriRZwpEbGdrcN5Y29ycA				an explosive device fused to explode under specific conditions	core
bomber	02867715	Bomber	+		Bomber	Q170877					a military aircraft that drops bombs during flight	core
bone	05269901	Bone	=	schema:Bone	Bone	Q265868	Mx4rvVkCG5wpEbGdrcN5Y29ycA				rigid connective tissue that makes up the skeleton of vertebrates	core
book	06410904	Book	=	schema:Book	Book	Q571					"a written work or composition that has been published (printed on pages bound together); """	core
book-appendix	06399337	Text	+								supplementary material that is collected and appended at the back of a book	core
book-copy	02870092	Book	+								"physical objects consisting of a number of pages bound together; ""he used a large book as "	core
book-index	06491786	Text	+								an alphabetical listing of names and topics along with page numbers where they are discuss	core
book-volume	06413666	SeriesVolumeFn	+			Q1238720					"a publication that is one of a set of several similar publications; ""the third volume was "	core
booklet	06413889	Book	+			Q190399					a small book usually having a paper cover	core
boom	14488813	SubjectiveAssessmentAttribute	+			Q811491					a state of economic prosperity	core
boot	02872752	Shoe	=			Q190868	Mx4rvVisaJwpEbGdrcN5Y29ycA				footwear that covers the whole foot and lower leg	core
booth	02873839	Room	+			Q16556730					small area set off by walls for special use	core
bosom	05919263	SubjectiveAssessmentAttribute	+								"the locus of feelings and intuitions; ""in your heart you know it is true""; ""her story woul"	core
botanical-fruit	13134947	FruitOrVegetable	=			Q1364					the ripened reproductive body of a seed plant	core
bottle	02876657	Bottle	=		Bottle	Q80228	Mx4rvVjslpwpEbGdrcN5Y29ycA				a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical 	core
bottle-cap	02954938	Device	+			Q1440281					a top (as for a bottle)	core
bottom	02878222	CargoShip	+			Q105999	Mx4rvVjWc5wpEbGdrcN5Y29ycA				"a cargo ship; ""they did much of their overseas trade in foreign bottoms"""	core
boundary-line	08512736	Region	+			Q921099	Mx4rd7-FiskjEdmAAAACs6hRjg				a line that indicates a boundary	core
bow	02879718	Weapon	+			Q46311					a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cor	core
bowl	02881193	Artifact	+		Bowl	Q153988	Mx4rvVjsMZwpEbGdrcN5Y29ycA				a round vessel that is open at the top; used chiefly for holding food or liquids;	core
box	02883344	Box	=		Box	Q188075	Mx4rvVjQXpwpEbGdrcN5Y29ycA				"a (usually rectangular) container; may have a lid; ""he rummaged through a box of spare par"	core
boxing-ring	04092959	Region	+			Q2290113	Mx4rvViXbJwpEbGdrcN5Y29ycA				a platform usually marked off by ropes in which contestants box or wrestle	core
bracket	06842452	Character	+			Q2465790					either of two punctuation marks (`<' or `>') used in computer programming and sometimes us	core
bracket-category	08006094	IntervalFn	=								a category falling within certain defined limits	core
braid	05259512	Hair	+			Q320809					a hairdo formed by braiding or twisting the hair	core
brain	05481095	Brain	+			Q1073	Mx4rvVjT65wpEbGdrcN5Y29ycA				that part of the central nervous system that includes all the higher nervous centers; encl	core
brake	02889425	Brake	=			Q1534839	Mx4rvViFqJwpEbGdrcN5Y29ycA				a restraint used to slow or stop a vehicle	core
branch	13163250	PlantBranch	=			Q2923673	Mx4rvWYI25wpEbGdrcN5Y29ycA				a division of a stem, or secondary stem arising from the main stem of a plant	core
brand	05845140	Class	+	schema:Brand	Brand						"a recognizable kind; ""there's a new brand of hero in the movies now""; ""what make of car is"	core
